title,price,bedrooms,bathrooms,beds,placeType,spotPhotos,description,address,latitude,longitude,city,state
SADDLE TRAIL PARK OF WELLINGTON,400,1,1,1,Cottage,http://cdn.photos.sparkplatform.com/fl/20200903221134312209000000-o.jpg,It's all about location! Price shown is per stall for the season. Up to 4 stalls available within hacking distance from WEF.  Please note that tenant needs to provide fans and mats for each stall if needed. There is a tack room (no air conditioning) and a feed room. Plastic dumpsters for manure removal are suggested. Full board also available.,14539 Belmont Trace #(Barn),26.646824,-80.279108,Wellington,FL
Century Village Deerfield,200,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20200908233547214580000000-o.jpg,Lovely first floor unit in a great location that is close to the pool & spectacularly renovated Clubhouse. Beautiful laminate and tiled flooring. Come see this cozy unit ready for you! Bring your suitcase and your smiles and get ready to live the fabulous Century Village lifestyle in sunny Deerfield Beach!,275 Durham H,26.317007,-80.135923,Deerfield Beach,FL
LOXAHATCHEE GROVES,100,0,1,1,Cottage,http://cdn.photos.sparkplatform.com/fl/20200911135327264391000000-o.jpg,"**ONLY 6 STALLS LEFT**  ATG Equestrian LLC, is welcoming an annual or seasonal Tenant for the 2020-2021 season. 10 Stalls Available with 24 hr video surveillance in each stall. Tenant will share use of the 8 lush paddocks, extra large Feed room, and A/c tack room. The farm boasts 2 large sand rings (ring 1 is 80' x 120') & (ring 2 is 220' x150'), RV hook-ups, fly spray system, and a ton of vehicle, and trailer parking. You and Your horses will love to call this home! Full/Partial, care/training also available.",2650 A Road,26.716453,-80.295032,Loxahatchee Groves,FL
TILFORD C CONDO,170,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20200915151033124210000000-o.jpg,Seasonal Rental.Come relax in your home away from home. Enjoy a rejuvenating nights sleep on the queen size bed.  Remote control shades on the lovely furnished patio. The front room also has a let out sofa.  Great water view just steps away from your door. Watch your favorite tv shows on either of the large screen tvs. Enjoy romantic chats while preparing meals in the open kitchen. Available and waiting to host you for your winter get away.,59 Tilford C #59,26.311735,-80.143822,Deerfield Beach,FL
SEA RISE CONDO,195,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20200929045815172404000000-o.jpg,"Enjoy the Jupiter Beach Lifestyle only short walk to the sand.  Very well kept spacious 2 bed/2 bath comes fully furnished.  Lots of natural light with garden views. Just bring your suitcases and relax!  Zeke's Golf Cart Service will pick you up and bring you to local restaurants, attractions, even Publix!  Enjoy long walks along the beach, or use the bike lanes and exercise by the Ocean.  Plenty to do or do nothing at all in this ideal location.   TDT # 000014372 -   BTR # 2019115261",1605 S Us Highway 1 #E306,26.920389,-80.072894,Jupiter,FL
TIFFANY APTS CO-OP,180,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20200928171726019105000000-o.jpg,3 month minimum term up to 6 months (3) month rental $5400; (1) month refundable Deposit $1800; Application Fee ($100) Cleaning Fee ($100),1504 S Surf Road #43,26.002827,-80.116829,Hollywood,FL
STRATHMORE GATE I UNIT TWO,180,2,1,2,Villa,http://cdn.photos.sparkplatform.com/fl/20200929172029859405000000-o.jpg,"55+ community                     2 bedroom one bath in quiet Strathmore Gate  New appliances, turn key .No pick up trucks, one dog or cat allowed, not over 20 lbs, and must have vet cert for weight and DNA. , Pet deposit to HOA $100., application fee is$135 per person , or $150 for two people.$1800 for 4 month Rental. $2400 for a 3 month rental.",148 Karanda Court,26.702312,-80.23197,Royal Palm Beach,FL
LUCERNE LAKES GOLF COLONY CONDOS 1 THRU 12 AND 14 A,180,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20200929211905366478000000-o.jpg,"THIS  COZY  AND AFFORDABLE CONDO IS A GREAT GETAWAY TO PROLONG YOUR VACATION IN A PERFECT ACTIVE COMMUNITY WITH A CLUB HOUSE TWO POOLS ,HOT TUB,SHUFFLE BOARS,POOL TABLE,PING PONG CLOSE TO EVERYTHING WITH A GREAT VIEW OF GOLF COURSE & COMPLETELY FURNISHED, CONDO IS READY WITH WI-FI & CABLE INCLUDED. . JUST BRING YOUR CLOTHS !!",7142 Golf Colony Court #202,26.608374,-80.157076,Lake Worth,FL
MARCO POLO BEACH RESORT,140,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201118120750518461000000-o.jpg,"Beautiful studio,beach and ocean access. Corner unit with partial ocean view. Furniture includes a kitchenette, refrigerator, microwave,built-in cabinets, TV, queen bed, sofa bed, dining table with chairs, blinds, and some linen.Aventura Beach a.k.a Marco Polo Condominium is a well-known complex with an unbeatable location at Collins Ave, where many luxury buildings are settled. This unit has unrestricted access to the beach and the ocean.Besides the private pool, gym, cabana, restaurants, tiki bar, and many more amenities to enjoy, the Rent includes almost everything(water, electricity, hot water, laundry facilities, basic cable, and basic internet).**Soooo... hurry...Are you ready to spend your spare time o short stay at the beach?? Call us for more details!!**",19201 NE Collins Avenue #726,25.954442,-80.119619,Sunny Isles Beach,FL
Coral Ridge East Condo,120,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201009031940479991000000-o.jpg,A LARGE 1BEDROOM / 1 & 1/2BATHROOM EAST OF U.S.1 EASY TO SHOW BRING AN OFFER.,4501 NE 21st Avenue #203,26.18417,-80.117242,Fort Lauderdale,FL
